Time [s],Rank 5,Rank 1,Rank 4,Rank 0,Rank 7,Rank 3,Rank 6,Rank 2
81.722956767,,,,,,,0.000261573603781801,
81.7414571,,,0.000261573603781801,,,,,
81.815806495,,,,,,,,0.000261573603781801
81.83892685,,,,,,0.000261573603781801,,
81.905375133,,,,,0.000258354938182415,,,
81.925632457,0.000258354938182415,,,,,,,
81.948214878,,,0.000258354938182415,,,,,
81.950099376,,0.000258354938182415,,,,,,
82.011609887,,,,0.000258354938182415,,,,
82.026505982,,,,,,0.000258354938182415,,
82.03779845,,,,,,,,0.000258354938182415
82.108143266,,,,,,,0.000258354938182415,
82.130210917,,,,,0.00025545203469604,,,
82.169027511,,0.00025545203469604,,,,,,
82.193535101,0.00025545203469604,,,,,,,
82.198684188,,,,,,0.00025545203469604,,
82.238267301,,,,,,,,0.00025545203469604
82.240754967,,,0.00025545203469604,,,,,
82.254621055,,,,0.00025545203469604,,,,
82.306964577,,,,,,,0.00025545203469604,
82.396889451,,,,,,0.000252019388516036,,
82.40564811,0.000252019388516036,,,,,,,
82.406658952,,0.000252019388516036,,,,,,
82.407394887,,,,,0.000252019388516036,,,
82.413570794,,,,0.000252019388516036,,,,
82.50747983,,,,,,,0.000252019388516036,
82.51100668,,,,,,,,0.000252019388516036
82.539835707,,,0.000252019388516036,,,,,
82.614220014,0.00024905024109367,,,,,,,
82.618660805,,,,,0.00024905024109367,,,
82.618758889,,0.00024905024109367,,,,,,
82.630656719,,,,0.00024905024109367,,,,
82.676253344,,,,,,,0.00024905024109367,
82.699229484,,,,,,0.00024905024109367,,
82.716625563,,,,,,,,0.00024905024109367
82.730617882,,,0.00024905024109367,,,,,
82.831931488,,,,,0.000245581159985275,,,
82.870405132,0.000245581159985275,,,,,,,
82.881472652,,,0.000245581159985275,,,,,
82.899184051,,,,,,0.000245581159985275,,
82.907936843,,,,,,,,0.000245581159985275
82.916875106,,0.000245581159985275,,,,,,
82.940534041,,,,0.000245581159985275,,,,
82.953033329,,,,,,,0.000245581159985275,
83.023065566,,,,,0.000242649204933339,,,
83.055241383,0.000242649204933339,,,,,,,
83.078900546,,,,,,,,0.000242649204933339
83.098781678,,,,,,0.000242649204933339,,
83.1131613,,0.000242649204933339,,,,,,
83.145401015,,,,0.000242649204933339,,,,
83.148392091,,,,,,,0.000242649204933339,
83.152046944,,,0.000242649204933339,,,,,
83.22459826,,,,,0.000239572556809448,,,
83.232385929,0.000239572556809448,,,,,,,
83.277259185,,0.000239572556809448,,,,,,
83.307046718,,,,,,,0.000239572556809448,
83.308535903,,,,0.000239572556809448,,,,
83.308665603,,,,,,0.000239572556809448,,
83.346031218,,,0.000239572556809448,,,,,
83.348770987,,,,,,,,0.000239572556809448
83.371124236,0.000236842271129724,,,,,,,
83.436745334,,0.000236842271129724,,,,,,
83.475357566,,,,,0.000236842271129724,,,
83.528770482,,,,,,,,0.000236842271129724
83.54283545,,,,,,,0.000236842271129724,
83.549890286,,,0.000236842271129724,,,,,
83.557022663,,,,,,0.000236842271129724,,
83.58035963,,,,0.000236842271129724,,,,
83.622923934,0.000234261189161317,,,,,,,
83.660779384,,0.000234261189161317,,,,,,
83.688374775,,,,,0.000234261189161317,,,
83.723403061,,,,,,,,0.000234261189161317
83.741447788,,,,,,0.000234261189161317,,
83.756041004,,,,0.000234261189161317,,,,
83.777379887,,,0.000234261189161317,,,,,
83.846293968,,,,,0.000234261189161317,,,
83.88531752,0.000234261189161317,,,,,,,
83.896463962,,,,,,,0.000234261189161317,
83.923735321,,0.000231449226101257,,,,,,
83.947014068,,,,,,0.000231449226101257,,
83.94775864,,,,,,,,0.000231449226101257
84.000937419,,,,0.000231449226101257,,,,
84.012498147,,,0.000231449226101257,,,,,
84.024355537,0.000231449226101257,,,,,,,
84.083602042,,,,,,0.000231449226101257,,
84.118238418,,,,,0.000231449226101257,,,
84.120962541,,0.000231449226101257,,,,,,
84.127506478,,,,,,,0.000231449226101257,
84.213239934,,,,,,0.000228653565318614,,
84.232217606,0.000228653565318614,,,,,,,
84.247098708,,0.000228653565318614,,,,,,
84.253518591,,,,0.000228653565318614,,,,
84.259753484,,,,,,,,0.000228653565318614
84.291165699,,,0.000228653565318614,,,,,
84.302160365,,,,,0.000228653565318614,,,
84.391155977,,,,,,,0.000228653565318614,
84.445845601,,,,,,0.000225375829408613,,
84.448886187,0.000225375829408613,,,,,,,
84.475818133,,0.000225375829408613,,,,,,
84.488777055,,,,,0.000225375829408613,,,
84.492681718,,,,,,,,0.000225375829408613
84.519485042,,,0.000225375829408613,,,,,
84.542277643,,,,0.000225375829408613,,,,
84.597941078,,,,,,,0.000225375829408613,
84.652763534,,,,,0.000222831544488722,,,
84.672335916,,,,,,0.000222831544488722,,
84.684532677,,0.000222831544488722,,,,,,
84.701173328,0.000222831544488722,,,,,,,
84.725443669,,,,,,,,0.000222831544488722
84.728520999,,,,0.000222831544488722,,,,
84.767998229,,,0.000222831544488722,,,,,
84.911887764,,,,,,,0.000222831544488722,
84.922775495,,0.000220187292216428,,,,,,
84.933889738,0.000220187292216428,,,,,,,
84.934222186,,,,0.000220187292216428,,,,
84.955280171,,,,,,,,0.000220187292216428
84.956725296,,,,,,0.000220187292216428,,
84.961772108,,,0.000220187292216428,,,,,
84.980840021,,,,,0.000220187292216428,,,
85.146848769,,,,,,,0.000220187292216428,
85.165604741,0.000217616321178308,,,,,,,
85.173259142,,,,,,0.000217616321178308,,
85.189677565,,,,0.000217616321178308,,,,
85.196970968,,,,,0.000217616321178308,,,
85.23646924,,,0.000217616321178308,,,,,
85.25663985,,,,,,,,0.000217616321178308
85.261867419,,0.000217616321178308,,,,,,
85.360084971,,,,,,0.000217616321178308,,
85.383977667,0.000217616321178308,,,,,,,
85.421308608,,,,,,,0.000217616321178308,
85.458084595,,,0.000214751702031693,,,,,
85.46763936,,,,,0.000214751702031693,,,
85.48035036,,,,0.000214751702031693,,,,
85.502963718,,,,,,,,0.000214751702031693
85.51213127,,0.000214751702031693,,,,,,
85.532466745,,,,,,0.000214751702031693,,
85.595540149,0.000214751702031693,,,,,,,
85.621281402,,,,,,,0.000214751702031693,
85.693216145,,,,0.000212101118756612,,,,
85.708246611,,,0.000212101118756612,,,,,
85.720535604,,,,,,0.000212101118756612,,
85.72471941,,0.000212101118756612,,,,,,
85.742992746,,,,,,,,0.000212101118756612
85.763429571,0.000212101118756612,,,,,,,
85.807855049,,,,,0.000212101118756612,,,
85.86737071,,,,0.000212101118756612,,,,
85.904391784,,,,,,,0.000212101118756612,
85.923704897,0.000209517897320105,,,,,,,
85.947680971,,0.000209517897320105,,,,,,
85.948372218,,,,,,0.000209517897320105,,
85.958516202,,,,,,,,0.000209517897320105
85.969014356,,,0.000209517897320105,,,,,
86.05569351,,,,0.000209517897320105,,,,
86.075274483,,,,,0.000209517897320105,,,
86.103753772,0.000209517897320105,,,,,,,
86.13705305,,,,,,,0.000209517897320105,
86.166873481,,,,,,0.000206537866275391,,
86.209653687,,,,,,,,0.000206537866275391
86.23520627,,,0.000206537866275391,,,,,
86.253248411,,0.000206537866275391,,,,,,
86.260995142,0.000206537866275391,,,,,,,
86.265760039,,,,,0.000206537866275391,,,
86.284628424,,,,0.000206537866275391,,,,
86.37788469,,,,,,0.000206537866275391,,
86.383930503,,,,,,,0.000206537866275391,
86.416514239,,,,,0.000204275941597996,,,
86.457495881,,,,,,,,0.000204275941597996
86.470976842,,,,0.000204275941597996,,,,
86.492353654,,0.000204275941597996,,,,,,
86.494718362,,,0.000204275941597996,,,,,
86.538326089,0.000204275941597996,,,,,,,
86.552796706,,,,,,0.000204275941597996,,
86.567141133,,,,,,,0.000204275941597996,
86.671787614,,0.000201955724567507,,,,,,
86.692632554,,,,0.000201955724567507,,,,
86.705038373,,,,,0.000201955724567507,,,
86.708058742,,,,,,,,0.000201955724567507
86.712406489,0.000201955724567507,,,,,,,
86.719170054,,,,,,0.000201955724567507,,
86.77463413,,,0.000201955724567507,,,,,
86.863578674,,,,,,,0.000201955724567507,
86.872343232,,,,,,,,0.00019973741482043
86.881483566,0.00019973741482043,,,,,,,
86.901542673,,0.00019973741482043,,,,,,
86.918896538,,,,,,0.00019973741482043,,
86.93060116,,,,,0.00019973741482043,,,
86.992972537,,,,0.00019973741482043,,,,
87.001602229,,,0.00019973741482043,,,,,
87.08631938,,,,,,,0.00019973741482043,
87.107934901,,0.000197571986929897,,,,,,
87.129223806,0.000197571986929897,,,,,,,
87.143820285,,,,,0.000197571986929897,,,
87.153898017,,,,,,0.000197571986929897,,
87.172654506,,,,,,,,0.000197571986929897
87.307853794,,,0.000197571986929897,,,,,
87.323345202,,,,0.000197571986929897,,,,
87.344801784,,,,,,,0.000197571986929897,
87.354710515,0.000195152776900329,,,,,,,
87.364314369,,0.000195152776900329,,,,,,
87.365975193,,,,,,,,0.000195152776900329
87.386472669,,,,,0.000195152776900329,,,
87.431510663,,,,,,0.000195152776900329,,
87.522974393,,,0.000195152776900329,,,,,
87.526356859,,,,0.000195152776900329,,,,
87.550082699,,,,,,,0.000195152776900329,
87.554543329,,0.000192944252804618,,,,,,
87.626525049,0.000192944252804618,,,,,,,
87.630179212,,,,,,0.000192944252804618,,
87.651052129,,,,,,,,0.000192944252804618
87.662147747,,,,,0.000192944252804618,,,
87.749414325,,0.000192944252804618,,,,,,
87.7895597,,,,0.000192944252804618,,,,
87.795980229,,,0.000192944252804618,,,,,
87.817086277,,,,,,,0.000192944252804618,
87.818009665,,,,,,,,0.000192944252804618
87.854799656,,,,,,0.000190629267845292,,
87.877238856,0.000190629267845292,,,,,,,
87.892138296,,,,,0.000190629267845292,,,
87.961078859,,0.000190629267845292,,,,,,
87.979413781,,,,0.000190629267845292,,,,
87.990291165,,,0.000190629267845292,,,,,
88.039013424,,,,,,,,0.000190629267845292
88.039172776,,,,,,,0.000190629267845292,
88.088082025,,,,,0.000188197067242073,,,
88.091111308,0.000188197067242073,,,,,,,
88.118857192,,,,,,0.000188197067242073,,
88.140700651,,0.000188197067242073,,,,,,
88.219429269,,,,,,,0.000188197067242073,
88.270054492,,,0.000188197067242073,,,,,
88.278894132,,,,0.000188197067242073,,,,
88.283870182,,,,,,,,0.000188197067242073
88.306678683,0.000186169923228104,,,,,,,
88.310490402,,,,,0.000186169923228104,,,
88.336782875,,0.000186169923228104,,,,,,
88.387432097,,,,,,,0.000186169923228104,
88.392408834,,,,,,0.000186169923228104,,
88.440666304,,,,,,,,0.000186169923228104
88.471993816,,,,0.000186169923228104,,,,
88.483163897,,,0.000186169923228104,,,,,
88.53059672,0.000184225368329294,,,,,,,
88.591450393,,0.000184225368329294,,,,,,
88.592347529,,,,,0.000184225368329294,,,
88.593980934,,,,,,,0.000184225368329294,
88.597767306,,,,,,0.000184225368329294,,
88.630868808,,,0.000184225368329294,,,,,
88.6321041,,,,0.000184225368329294,,,,
88.664241947,,,,,,,,0.000184225368329294
88.732007422,0.000181976856232082,,,,,,,
88.776034583,,,,,,0.000181976856232082,,
88.789396107,,,0.000181976856232082,,,,,
88.7894493,,,,0.000181976856232082,,,,
88.801721383,,,,,0.000181976856232082,,,
88.81150852,,0.000181976856232082,,,,,,
88.832043367,,,,,,,,0.000181976856232082
88.851149169,,,,,,,0.000181976856232082,
88.926885839,,,0.000180050754216536,,,,,
88.931275019,0.000180050754216536,,,,,,,
88.954253016,,,,0.000180050754216536,,,,
88.98669468,,0.000180050754216536,,,,,,
89.005946602,,,,,,0.000180050754216536,,
89.009932018,,,,,0.000180050754216536,,,
89.032825634,,,,,,,0.000180050754216536,
89.073824882,,,,,,,,0.000180050754216536
89.134540733,0.000177871778349236,,,,,,,
89.156987168,,,0.000177871778349236,,,,,
89.182725834,,,,0.000177871778349236,,,,
89.183179581,,0.000177871778349236,,,,,,
89.190303964,,,,,0.000177871778349236,,,
89.195912785,,,,,,,0.000177871778349236,
89.222992667,,,,,,0.000177871778349236,,
89.262962855,,,,,,,,0.000177871778349236
89.358640606,,,,,0.000175950470005032,,,
89.363742149,,0.000175950470005032,,,,,,
89.368279427,0.000175950470005032,,,,,,,
89.381271543,,,0.000175950470005032,,,,,
89.404100137,,,,0.000175950470005032,,,,
89.411384239,,,,,,0.000175950470005032,,
89.411491198,,,,,,,0.000175950470005032,
89.444514255,,,,,,,,0.000175950470005032
89.524376501,0.00017376790488442,,,,,,,
89.532578552,,,,,0.00017376790488442,,,
89.546379803,,0.00017376790488442,,,,,,
89.555780149,,,0.00017376790488442,,,,,
89.569509559,,,,,,0.00017376790488442,,
89.585981717,,,,0.00017376790488442,,,,
89.596069276,,,,,,,,0.00017376790488442
89.610748403,,,,,,,0.00017376790488442,
89.683612494,0.000171889597489919,,,,,,,
89.700937918,,0.000171889597489919,,,,,,
89.7153844,,,0.000171889597489919,,,,,
89.726442234,,,,,0.000171889597489919,,,
89.76714432,,,,,,0.000171889597489919,,
89.769864804,,,,,,,0.000171889597489919,
89.794039683,,,,,,,,0.000171889597489919
89.89877305,,,,,0.000171889597489919,,,
89.908327063,,,,,,,0.000171889597489919,
89.909894926,0.000171889597489919,,,,,,,
89.973400053,,,0.000171889597489919,,,,,
89.975170206,,,,0.000171889597489919,,,,
89.985919038,,0.000169992806292722,,,,,,
90.027966311,,,,,,0.000169992806292722,,
90.030170172,,,,,,,,0.000169992806292722
90.065468755,,,,,,,0.000169992806292722,
90.086084303,0.000169992806292722,,,,,,,
90.114868185,,,,,0.000169992806292722,,,
90.126066247,,,0.000169992806292722,,,,,
90.176564965,,,,0.000169992806292722,,,,
90.212556581,,0.000167155278378653,,,,,,
90.251263253,0.000167155278378653,,,,,,,
90.253013326,,,,,,0.000167155278378653,,
90.273243361,,,0.000167155278378653,,,,,
90.281622765,,,,,0.000167155278378653,,,
90.306604868,,,,,,,0.000167155278378653,
90.376762109,0.000167155278378653,,,,,,,
90.414867213,,0.000167155278378653,,,,,,
90.46780133,,,,,,,,0.000167155278378653
90.483494952,,,,0.000167155278378653,,,,
90.490674426,,,,,,0.000165661965109774,,
90.501906386,,,0.000165661965109774,,,,,
90.510473471,,,,,0.000165661965109774,,,
90.543573459,,,,,,,0.000165661965109774,
90.581403672,0.000165661965109774,,,,,,,
90.618235178,,0.000165661965109774,,,,,,
90.704167953,,,,,,,,0.000165661965109774
90.726831861,,,,0.000165661965109774,,,,
90.744139792,,,0.000164006948934637,,,,,
90.767997285,,,,,,0.000164006948934637,,
90.801025254,,0.000164006948934637,,,,,,
90.808723056,,,,,,,0.000164006948934637,
90.821820636,0.000164006948934637,,,,,,,
90.855935176,,,,,0.000164006948934637,,,
90.910299307,,,,0.000164006948934637,,,,
90.93218284,,,,,,,,0.000164006948934637
90.936488227,,,0.000162130120364953,,,,,
90.973986539,,,,,,0.000162130120364953,,
90.977306553,0.000162130120364953,,,,,,,
91.04490849,,,,,0.000162130120364953,,,
91.055108155,,,,,,,0.000162130120364953,
91.06595893,,,,0.000162130120364953,,,,
91.092206106,,0.000162130120364953,,,,,,
91.106738066,,,,,,,,0.000162130120364953
91.135852979,,,0.00016042155713056,,,,,
91.144761807,,,,,,0.00016042155713056,,
91.196508649,0.00016042155713056,,,,,,,
91.240150129,,,,0.00016042155713056,,,,
91.261937149,,,0.00016042155713056,,,,,
91.273274461,,,,,,,0.00016042155713056,
91.277696998,,0.00016042155713056,,,,,,
91.280304114,,,,,,0.00016042155713056,,
91.306226731,,,,,0.00016042155713056,,,
91.370452769,,,,,,,,0.00016042155713056
91.429817299,,,,0.000158637365649074,,,,
91.454780854,0.000158637365649074,,,,,,,
91.461745072,,,0.000158637365649074,,,,,
91.482746325,,0.000158637365649074,,,,,,
91.492115715,,,,,,0.000158637365649074,,
91.495277373,,,,,0.000158637365649074,,,
91.498287694,,,,,,,0.000158637365649074,
91.59095358,,,,,,,,0.000158637365649074
91.601996628,,,0.000156519597043734,,,,,
91.651280407,,,,0.000156519597043734,,,,
91.662523427,,,,,,0.000156519597043734,,
91.696885807,,0.000156519597043734,,,,,,
91.715669415,0.000156519597043734,,,,,,,
91.721380575,,,,,0.000156519597043734,,,
91.768678958,,,,,,,0.000156519597043734,
91.77990795,,,,,,,,0.000156519597043734
91.848221481,,,,,,0.00015480144898259,,
91.877653873,,,0.00015480144898259,,,,,
91.894343895,0.00015480144898259,,,,,,,
91.894904258,,0.00015480144898259,,,,,,
91.907506094,,,,,0.00015480144898259,,,
91.911285566,,,,0.00015480144898259,,,,
91.936500373,,,,,,,,0.00015480144898259
92.013229951,,,,,,,0.00015480144898259,
92.089079176,,,,,,0.000153399979585791,,
92.093872684,0.000153399979585791,,,,,,,
92.105200619,,,,0.000153399979585791,,,,
92.106797529,,0.000153399979585791,,,,,,
92.107859353,,,0.000153399979585791,,,,,
92.189165677,,,,,0.000153399979585791,,,
92.195570897,,,,,,,0.000153399979585791,
92.223789765,,,,,,,,0.000153399979585791
92.225738653,0.000151630299888589,,,,,,,
92.270625289,,,0.000151630299888589,,,,,
92.280117323,,0.000151630299888589,,,,,,
92.312224086,,,,0.000151630299888589,,,,
92.363498882,,,,,,,0.000151630299888589,
92.366716319,,,,,,0.000151630299888589,,
92.387297754,,,,,0.000151630299888589,,,
92.495332381,,0.000151630299888589,,,,,,
92.521270528,0.000151630299888589,,,,,,,
92.581646647,,,,0.000151630299888589,,,,
92.617542228,,,,,0.000151630299888589,,,
92.626329279,,,0.000151630299888589,,,,,
92.629532105,,,,,,,,0.000151630299888589
92.63795946,,,,,,0.000150313088484816,,
92.67306278,,,,,,,0.000150313088484816,
92.704965721,0.000150313088484816,,,,,,,
92.718372242,,0.000150313088484816,,,,,,
92.787947601,,,0.000150313088484816,,,,,
92.83641844,,,,0.000150313088484816,,,,
92.845633425,,,,,0.000150313088484816,,,
92.86520483,,,,,,,,0.000150313088484816
92.946608799,0.000147766968089485,,,,,,,
92.954608663,,,0.000147766968089485,,,,,
92.966303704,,0.000147766968089485,,,,,,
92.97692192,,,,,,0.000147766968089485,,
92.995283171,,,,,,,0.000147766968089485,
93.023152414,,,,,0.000147766968089485,,,
93.037416765,,,,0.000147766968089485,,,,
93.052093543,,,,,,,,0.000147766968089485
93.091491657,0.000146303170860813,,,,,,,
93.130461738,,0.000146303170860813,,,,,,
93.178737264,,,,,0.000146303170860813,,,
93.181638174,,,,,,0.000146303170860813,,
93.194386752,,,,,,,0.000146303170860813,
93.211756797,,,,0.000146303170860813,,,,
93.218426457,,,0.000146303170860813,,,,,
93.325099516,,,,,,,,0.000146303170860813
93.330321526,,,,,0.000146303170860813,,,
93.358840697,0.000144765115923794,,,,,,,
93.364174678,,0.000144765115923794,,,,,,
93.366171875,,,,,,,0.000144765115923794,
93.374901456,,,,,,0.000144765115923794,,
93.414025982,,,,0.000144765115923794,,,,
93.466775089,,,,,0.000144765115923794,,,
93.480676007,,,0.000144765115923794,,,,,
93.504315705,,0.000144765115923794,,,,,,
93.520558097,,,,,,,0.000144765115923794,
93.590951001,0.000144765115923794,,,,,,,
93.617901094,,,,,,,,0.000144765115923794
93.637437422,,,,,,0.000143202874885617,,
93.681221368,,,,,0.000143202874885617,,,
93.689767622,,,,0.000143202874885617,,,,
93.696734076,,,0.000143202874885617,,,,,
93.720027155,,0.000143202874885617,,,,,,
93.739501605,0.000143202874885617,,,,,,,
93.766493139,,,,,,,0.000143202874885617,
93.803858081,,,,,,,,0.000143202874885617
93.864375578,,,,,,0.000141116643131194,,
93.878820217,,,,,0.000141116643131194,,,
93.881225285,,,0.000141116643131194,,,,,
93.894063479,,0.000141116643131194,,,,,,
93.916268685,,,,0.000141116643131194,,,,
93.923405239,0.000141116643131194,,,,,,,
93.954123852,,,,,,,,0.000141116643131194
