Time [s],Rank 1,Rank 0
2.362869343,,0.000643007866342213
2.383148051,,0.000599822823557381
2.383194348,0.000599822823557381,
2.400493793,,0.000558833340685884
2.400509073,0.000558833340685884,
2.421202785,0.000519933190865032,
2.422413472,,0.000519933190865032
2.441839135,,0.000482992938549641
2.444680505,0.000482992938549641,
2.46083096,0.000448124773395892,
2.460898354,,0.000448124773395892
2.481860996,0.000415549906082072,
2.482920169,,0.000415549906082072
2.499139676,,0.000385034029243123
2.499185413,0.000385034029243123,
2.518554767,0.000356784414100063,
2.518560418,,0.000356784414100063
2.533485985,0.000330982475879761,
2.533496107,,0.000330982475879761
2.54812516,,0.000307281768668629
2.548138391,0.000307281768668629,
2.568400249,0.000285429325676567,
2.56950707,,0.000285429325676567
2.587718826,,0.000265546552608377
2.588104454,0.000265546552608377,
2.602902155,0.000247597182322124,
2.602991051,,0.000247597182322124
2.622266598,,0.000231348982683953
2.622300325,0.000231348982683953,
2.641363093,0.00021684418672472,
2.643311883,,0.00021684418672472
2.661708363,0.000204029062900475,
2.661724482,,0.000204029062900475
2.680343246,0.000192716887347317,
2.681089887,,0.000192716887347317
2.694882592,0.000182784771417277,
2.694955,,0.000182784771417277
2.713711803,0.0001740928624992,
2.713723699,,0.0001740928624992
2.728828077,0.000166530126241239,
2.72892051,,0.000166530126241239
2.747969676,0.000159997607908887,
2.750307732,,0.000159997607908887
2.76568365,0.000154357534991521,
2.765700575,,0.000154357534991521
2.784746563,,0.000149479090488751
2.786622566,0.000149479090488751,
2.803210057,0.000145303597135004,
2.803221727,,0.000145303597135004
2.821511493,,0.00014174387210455
2.821533593,0.00014174387210455,
2.840443529,,0.000138699275730011
2.840450536,0.000138699275730011,
2.855959323,0.000136110576218628,
2.856721591,,0.000136110576218628
2.872801049,0.000133899490995913,
2.875612913,,0.000133899490995913
2.88968829,0.00013200522079571,
2.889689303,,0.00013200522079571
2.907130174,,0.000130370247363455
2.90790511,0.000130370247363455,
2.927519959,0.000128942959949044,
2.92754234,,0.000128942959949044
2.946329602,,0.000127676351129407
2.947271573,0.000127676351129407,
2.963336263,,0.000126540038654322
2.963343066,0.000126540038654322,
2.983667578,0.00012551990003426,
2.984576206,,0.00012551990003426
3.004225955,,0.000124592591387665
3.006799312,0.000124592591387665,
3.0223154,,0.000123743598890432
3.022387643,0.000123743598890432,
3.039114592,,0.000122959354234631
3.039139121,0.000122959354234631,
3.054415734,,0.000122225253496129
3.054448529,0.000122225253496129,
3.070524375,,0.000121530908851017
3.071300689,0.000121530908851017,
3.08626577,,0.000120865336200048
3.086350941,0.000120865336200048,
3.101366901,,0.000120217041643613
3.101412129,0.000120217041643613,
3.119727186,0.000119575460729569,
3.119728462,,0.000119575460729569
3.139285464,0.000118924355333501,
3.13928599,,0.000118924355333501
3.161197049,0.000118239967919275,
3.162284013,,0.000118239967919275
3.179733737,0.000117499250171687,
3.179752397,,0.000117499250171687
3.198345893,,0.000116667517058983
3.199707291,0.000116667517058983,
3.218492671,0.000115698553748766,
3.218509677,,0.000115698553748766
3.233367998,,0.000114533599777365
3.233372501,0.000114533599777365,
3.251297083,,0.000113103360689262
3.25138902,0.000113103360689262,
3.267761073,,0.000111339918857218
3.267773273,0.000111339918857218,
3.28715251,0.00010923827631546,
3.287861171,,0.00010923827631546
3.305486647,,0.000106878375279866
3.307315861,0.000106878375279866,
3.32409626,,0.000104420386701517
3.324139696,0.000104420386701517,
3.34222703,,0.000101997398006029
3.342261207,0.000101997398006029,
3.362107591,,9.95842922054821e-05
3.362164109,9.95842922054821e-05,
